Node Name,Op Type,Activation,Weights,Bias
/model.0/conv/Conv,Conv,UINT8,INT8,INT8
/model.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.0/act/Mul,Mul,UINT8,,
/model.1/conv/Conv,Conv,UINT8,INT8,INT8
/model.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.1/act/Mul,Mul,UINT8,,
/model.2/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.2/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.2/cv1/act/Mul,Mul,UINT8,,
/model.2/cv2/act/Mul,Mul,UINT8,,
/model.2/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/m/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.2/m/m.0/cv1/act/Mul,Mul,UINT8,,
/model.2/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/m/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.2/m/m.0/cv2/act/Mul,Mul,UINT8,,
/model.2/m/m.0/Add,Add,UINT8,,
/model.2/Concat,Concat,UINT8,,
/model.2/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/cv3/act/Sigmoid,HardSigmoid,UINT8,,
/model.2/cv3/act/Mul,Mul,UINT8,,
/model.3/conv/Conv,Conv,UINT8,INT8,INT8
/model.3/act/Sigmoid,HardSigmoid,UINT8,,
/model.3/act/Mul,Mul,UINT8,,
/model.4/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.4/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.4/cv1/act/Mul,Mul,UINT8,,
/model.4/cv2/act/Mul,Mul,UINT8,,
/model.4/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/m/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.4/m/m.0/cv1/act/Mul,Mul,UINT8,,
/model.4/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/m/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.4/m/m.0/cv2/act/Mul,Mul,UINT8,,
/model.4/m/m.0/Add,Add,UINT8,,
/model.4/m/m.1/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/m/m.1/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.4/m/m.1/cv1/act/Mul,Mul,UINT8,,
/model.4/m/m.1/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/m/m.1/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.4/m/m.1/cv2/act/Mul,Mul,UINT8,,
/model.4/m/m.1/Add,Add,UINT8,,
/model.4/Concat,Concat,UINT8,,
/model.4/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/cv3/act/Sigmoid,HardSigmoid,UINT8,,
/model.4/cv3/act/Mul,Mul,UINT8,,
/model.5/conv/Conv,Conv,UINT8,INT8,INT8
/model.5/act/Sigmoid,HardSigmoid,UINT8,,
/model.5/act/Mul,Mul,UINT8,,
/model.6/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.6/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.6/cv1/act/Mul,Mul,UINT8,,
/model.6/cv2/act/Mul,Mul,UINT8,,
/model.6/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.6/m/m.0/cv1/act/Mul,Mul,UINT8,,
/model.6/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.6/m/m.0/cv2/act/Mul,Mul,UINT8,,
/model.6/m/m.0/Add,Add,UINT8,,
/model.6/m/m.1/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.1/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.6/m/m.1/cv1/act/Mul,Mul,UINT8,,
/model.6/m/m.1/cv2/conv/Conv,Conv,UINT8,INT8,INT8
